MLS,Location,Price,Bedrooms,Bathrooms,Size,Price/SQ.Ft,Status

154481, Paso Robles,524900.00,3,2,2380,220.55,Regular
154482,Atascadero,349000.00,5,3,3000,116.33,Short Sale
154482, Atascadero,349000.00,5,3,3000,116.33,Regular
154483, Cambria,825000.00,2,3,1840,448.37,Regular
154484,Grover Beach,255000.00,3,2,1189,214.47,Short Sale
154485,Nipomo,259000.00,4,2,1336,193.86,Short Sale
154486,Paso Robles,199000.00,2,1,832,239.18,Short Sale
154487,Santa Maria-Orcutt,410000.00,5,3,2100,195.24,Foreclosure
154488, Paso Robles,199000.00,3,1,940,211.70,Regular
154489, Paso Robles,270000.00,3,2,1344,200.89,Regular
154490, Cayucos,695000.00,2,2,1437,483.65,Regular
154491, Cambria,2995000.00,5,4,3684,812.98,Regular
154492, Paso Robles,131900.00,1,2,300,439.67,Regular
154493, Cambria,995000.00,4,3,2717,366.21,Regular
154494, Santa Maria-Orcutt,250000.00,4,3,2097,119.22,Regular
154495,Arroyo Grande,239800.00,5,2,1575,152.25,Foreclosure
154496, Atascadero,425000.00,6,3,2628,161.72,Regular
154497, Arroyo Grande,525000.00,3,2,1750,300.00,Regular
154498, Pismo Beach,459900.00,3,2,1346,341.68,Regular
154501,Atascadero,229900.00,3,2,1041,220.85,Foreclosure
154503,Out Of Area,199900.00,3,2,1526,131.00,Regular
154504, Arroyo Grande,599000.00,4,2,1728,346.64,Regular
154506,Santa Maria-Orcutt,197600.00,4,2,1378,143.40,Foreclosure
154508, Santa Maria-Orcutt,355000.00,2,1,1145,310.04,Regular
154510, Paso Robles,339900.00,3,2,1325,256.53,Regular
154512, Santa Maria-Orcutt,299000.00,3,3,1850,161.62,Regular
154513,Soledad,166800.00,4,2,1765,94.50,Foreclosure
154515,Grover Beach,379000.00,4,2,1631,232.37,Short Sale
154516,Santa Ynez,1395000.00,4,4,2693,518.01,Short Sale
154517,Santa Maria-Orcutt,150000.00,3,2,1316,113.98,Short Sale
154518, San Luis Obispo,475000.00,3,2,1382,343.70,Regular
154519,Santa Maria-Orcutt,265000.00,4,3,2300,115.22,Foreclosure
154520,Atascadero,265000.00,3,2,1617,163.88,Short Sale
154521, Los Osos,225000.00,2,2,1150,195.65,Regular
154522,Paso Robles,249900.00,2,2,1674,149.28,Foreclosure
154523, Arroyo Grande,509000.00,3,2,1543,329.88,Regular
154525, Paso Robles,214900.00,2,2,1351,159.07,Regular
154526, Arroyo Grande,5499000.00,4,5,5060,1086.76,Regular
154528, Santa Maria-Orcutt,349900.00,3,2,2000,174.95,Regular
154530, Solvang,125000.00,2,2,1536,81.38,Regular
